date,open,high,low,close,volume
2025-01-31 09:30:00,16.77,16.86,16.66,16.72,12457
2025-01-31 09:35:00,16.71,16.74,16.66,16.69,5779
2025-01-31 09:40:00,16.69,16.71,16.65,16.7,1890
2025-01-31 09:45:00,16.7,16.75,16.62,16.66,9617
2025-01-31 09:50:00,16.67,16.71,16.63,16.71,1648
2025-01-31 09:55:00,16.71,16.77,16.7,16.77,2133
2025-01-31 10:00:00,16.77,16.79,16.73,16.75,2434
2025-01-31 10:05:00,16.75,16.77,16.7,16.76,2819
2025-01-31 10:10:00,16.77,16.83,16.75,16.8,2271
2025-01-31 10:15:00,16.8,16.81,16.76,16.77,2659
2025-01-31 10:20:00,16.77,16.78,16.72,16.74,1616
2025-01-31 10:25:00,16.74,16.75,16.7,16.71,1649
2025-01-31 10:30:00,16.7,16.72,16.66,16.71,1145
2025-01-31 10:35:00,16.71,16.77,16.7,16.76,2428
2025-01-31 10:40:00,16.76,16.78,16.75,16.78,2535
2025-01-31 10:45:00,16.77,16.78,16.74,16.74,2701
2025-01-31 10:50:00,16.75,16.75,16.7,16.72,2329
2025-01-31 10:55:00,16.73,16.79,16.72,16.77,2717
2025-01-31 11:00:00,16.77,16.83,16.76,16.83,4230
2025-01-31 11:05:00,16.82,16.83,16.8,16.82,2992
2025-01-31 11:10:00,16.82,16.83,16.79,16.8,2294
2025-01-31 11:15:00,16.8,16.8,16.71,16.71,1591
2025-01-31 11:20:00,16.71,16.77,16.71,16.74,3354
2025-01-31 11:25:00,16.75,16.76,16.73,16.76,2599
2025-01-31 11:30:00,16.76,16.79,16.75,16.77,3305
2025-01-31 11:35:00,16.77,16.77,16.73,16.74,3642
2025-01-31 11:40:00,16.74,16.77,16.72,16.73,4097
2025-01-31 11:45:00,16.73,16.75,16.71,16.73,3079
2025-01-31 11:50:00,16.74,16.75,16.73,16.75,1926
2025-01-31 11:55:00,16.75,16.75,16.71,16.73,1876
2025-01-31 12:00:00,16.72,16.75,16.71,16.73,2476
2025-01-31 12:05:00,16.73,16.75,16.69,16.72,4916
2025-01-31 12:10:00,16.73,16.74,16.69,16.71,3515
2025-01-31 12:15:00,16.71,16.75,16.68,16.75,5712
2025-01-31 12:20:00,16.75,16.76,16.73,16.73,2696
2025-01-31 12:25:00,16.73,16.74,16.7,16.71,1973
2025-01-31 12:30:00,16.71,16.73,16.69,16.69,2509
2025-01-31 12:35:00,16.69,16.7,16.67,16.68,1992
2025-01-31 12:40:00,16.69,16.69,16.65,16.66,2372
2025-01-31 12:45:00,16.66,16.67,16.62,16.65,2593
2025-01-31 12:50:00,16.64,16.66,16.63,16.66,2564
2025-01-31 12:55:00,16.66,16.67,16.64,16.66,2321
2025-01-31 13:00:00,16.66,16.67,16.64,16.64,973
2025-01-31 13:05:00,16.64,16.66,16.63,16.64,1915
2025-01-31 13:10:00,16.64,16.66,16.63,16.65,2377
2025-01-31 13:15:00,16.65,16.67,16.58,16.58,3041
2025-01-31 13:20:00,16.58,16.62,16.54,16.57,4580
2025-01-31 13:25:00,16.58,16.58,16.54,16.55,3968
2025-01-31 13:30:00,16.55,16.57,16.5,16.53,3166
2025-01-31 13:35:00,16.53,16.57,16.52,16.55,4132
2025-01-31 13:40:00,16.55,16.58,16.53,16.53,3644
2025-01-31 13:45:00,16.54,16.54,16.48,16.51,3313
2025-01-31 13:50:00,16.52,16.52,16.47,16.48,1971
2025-01-31 13:55:00,16.47,16.48,16.45,16.47,2708
2025-01-31 14:00:00,16.47,16.49,16.45,16.46,3369
2025-01-31 14:05:00,16.46,16.48,16.42,16.44,4667
2025-01-31 14:10:00,16.44,16.47,16.43,16.45,2906
2025-01-31 14:15:00,16.46,16.46,16.44,16.45,2693
2025-01-31 14:20:00,16.45,16.47,16.43,16.47,1440
2025-01-31 14:25:00,16.47,16.48,16.44,16.47,1214
2025-01-31 14:30:00,16.47,16.49,16.45,16.45,1572
2025-01-31 14:35:00,16.45,16.46,16.43,16.44,1510
2025-01-31 14:40:00,16.44,16.45,16.41,16.42,1204
2025-01-31 14:45:00,16.41,16.44,16.39,16.44,1212
2025-01-31 14:50:00,16.44,16.46,16.43,16.45,1677
2025-01-31 14:55:00,16.45,16.46,16.41,16.41,1676
2025-01-31 15:00:00,16.41,16.43,16.37,16.38,1886
2025-01-31 15:05:00,16.38,16.39,16.37,16.37,1221
2025-01-31 15:10:00,16.37,16.39,16.36,16.36,1647
2025-01-31 15:15:00,16.36,16.37,16.35,16.36,1850
2025-01-31 15:20:00,16.36,16.37,16.34,16.36,2575
2025-01-31 15:25:00,16.37,16.37,16.34,16.37,3232
2025-01-31 15:30:00,16.36,16.38,16.35,16.38,2566
2025-01-31 15:35:00,16.38,16.4,16.37,16.39,3135
2025-01-31 15:40:00,16.39,16.4,16.37,16.39,3645
2025-01-31 15:45:00,16.4,16.45,16.39,16.45,4240
2025-01-31 15:50:00,16.45,16.45,16.37,16.39,9033
2025-01-31 15:55:00,16.39,16.4,16.36,16.36,10038
2025-02-03 09:30:00,16.42,16.54,16.33,16.54,986
2025-02-03 09:35:00,16.53,16.56,16.42,16.47,5357
2025-02-03 09:40:00,16.47,16.52,16.45,16.48,1658
2025-02-03 09:45:00,16.48,16.52,16.43,16.52,2214
2025-02-03 09:50:00,16.52,16.63,16.52,16.57,3591
2025-02-03 09:55:00,16.57,16.59,16.54,16.55,1698
2025-02-03 10:00:00,16.55,16.64,16.49,16.62,2869
2025-02-03 10:05:00,16.62,16.71,16.61,16.65,5128
2025-02-03 10:10:00,16.65,16.65,16.51,16.57,2427
2025-02-03 10:15:00,16.57,16.58,16.5,16.52,1351
2025-02-03 10:20:00,16.52,16.65,16.5,16.62,2452
2025-02-03 10:25:00,16.62,16.62,16.48,16.52,2028
2025-02-03 10:30:00,16.52,16.52,16.44,16.45,1889
2025-02-03 10:35:00,16.46,16.47,16.39,16.43,1588
2025-02-03 10:40:00,16.42,16.6,16.41,16.54,2022
