date,open,high,low,close,volume
2025-01-31 09:30:00,123.78,124.74,123.35,123.86,85363
2025-01-31 09:35:00,123.88,124.02,123.21,123.87,46010
2025-01-31 09:40:00,123.86,124.95,123.76,124.14,59621
2025-01-31 09:45:00,124.12,124.54,123.55,123.72,42630
2025-01-31 09:50:00,123.73,124.49,123.61,124.46,37946
2025-01-31 09:55:00,124.46,125.15,124.21,124.99,44039
2025-01-31 10:00:00,125.0,126.13,124.98,126.1,66062
2025-01-31 10:05:00,126.1,126.64,125.26,125.37,61900
2025-01-31 10:10:00,125.36,125.85,125.04,125.48,42685
2025-01-31 10:15:00,125.48,126.16,125.32,125.7,38615
2025-01-31 10:20:00,125.69,125.91,125.47,125.87,24471
2025-01-31 10:25:00,125.87,126.25,125.58,126.19,32133
2025-01-31 10:30:00,126.18,127.0,126.14,126.96,52599
2025-01-31 10:35:00,126.94,127.09,126.4,126.46,46413
2025-01-31 10:40:00,126.45,126.5,125.75,126.32,38041
2025-01-31 10:45:00,126.32,126.46,125.99,126.26,23218
2025-01-31 10:50:00,126.25,126.6,125.82,126.54,29154
2025-01-31 10:55:00,126.53,127.14,126.3,126.8,41881
2025-01-31 11:00:00,126.79,127.42,126.77,127.3,45666
2025-01-31 11:05:00,127.29,127.45,126.97,127.24,31881
2025-01-31 11:10:00,127.22,127.6,127.12,127.58,35468
2025-01-31 11:15:00,127.59,127.85,127.47,127.67,35691
2025-01-31 11:20:00,127.66,127.68,126.96,127.29,32413
2025-01-31 11:25:00,127.28,127.32,126.6,126.75,28168
2025-01-31 11:30:00,126.74,126.97,126.22,126.25,30329
2025-01-31 11:35:00,126.25,126.43,125.62,125.67,37217
2025-01-31 11:40:00,125.67,125.79,124.96,125.06,54858
2025-01-31 11:45:00,125.05,125.67,124.83,125.56,42475
2025-01-31 11:50:00,125.55,125.72,125.32,125.64,26758
2025-01-31 11:55:00,125.62,125.67,125.16,125.42,22318
2025-01-31 12:00:00,125.43,125.55,125.02,125.05,24580
2025-01-31 12:05:00,125.05,125.05,124.4,125.04,43623
2025-01-31 12:10:00,125.04,125.05,124.62,124.99,25973
2025-01-31 12:15:00,124.99,124.99,124.06,124.09,31926
2025-01-31 12:20:00,124.09,124.94,124.07,124.92,28206
2025-01-31 12:25:00,124.91,125.37,124.81,125.31,27263
2025-01-31 12:30:00,125.32,125.55,124.79,124.85,29868
2025-01-31 12:35:00,124.86,125.1,124.81,124.99,15617
2025-01-31 12:40:00,124.98,125.14,124.9,124.98,14346
2025-01-31 12:45:00,124.98,125.07,124.89,124.96,12375
2025-01-31 12:50:00,124.96,125.44,124.89,125.4,19256
2025-01-31 12:55:00,125.41,125.96,125.25,125.87,23788
2025-01-31 13:00:00,125.88,125.89,125.24,125.43,21250
2025-01-31 13:05:00,125.46,125.5,124.93,125.02,20136
2025-01-31 13:10:00,125.02,125.06,124.78,124.96,17177
2025-01-31 13:15:00,124.96,125.05,124.32,124.37,19067
2025-01-31 13:20:00,124.35,124.85,124.11,124.48,30366
2025-01-31 13:25:00,124.49,124.58,124.12,124.17,20558
2025-01-31 13:30:00,124.15,124.43,123.58,123.61,37258
2025-01-31 13:35:00,123.62,124.16,123.57,124.1,27222
2025-01-31 13:40:00,124.1,124.35,123.44,123.63,25053
2025-01-31 13:45:00,123.67,124.08,123.62,123.73,21076
2025-01-31 13:50:00,123.75,123.9,123.29,123.64,20763
2025-01-31 13:55:00,123.63,124.02,123.53,123.79,18138
2025-01-31 14:00:00,123.83,124.01,123.51,123.67,19591
2025-01-31 14:05:00,123.67,123.73,122.7,123.05,35759
2025-01-31 14:10:00,123.07,123.54,123.04,123.37,22625
2025-01-31 14:15:00,123.36,123.49,122.57,122.76,26173
2025-01-31 14:20:00,122.76,123.12,122.65,123.09,19188
2025-01-31 14:25:00,123.09,123.28,122.76,123.01,21708
2025-01-31 14:30:00,123.03,123.14,122.54,122.96,21495
2025-01-31 14:35:00,122.97,123.0,122.05,122.06,31187
2025-01-31 14:40:00,122.06,122.33,121.64,121.76,31619
2025-01-31 14:45:00,121.75,122.02,121.25,121.99,38627
2025-01-31 14:50:00,122.01,122.18,121.31,121.69,31564
2025-01-31 14:55:00,121.69,122.05,121.59,121.86,25835
2025-01-31 15:00:00,121.87,121.87,121.0,121.1,33312
2025-01-31 15:05:00,121.14,121.39,120.83,120.98,30371
2025-01-31 15:10:00,120.98,121.37,120.79,120.88,28126
2025-01-31 15:15:00,120.88,121.14,120.6,120.71,28811
2025-01-31 15:20:00,120.71,120.79,120.1,120.37,39886
2025-01-31 15:25:00,120.35,120.59,119.88,120.11,43017
2025-01-31 15:30:00,120.11,120.25,120.0,120.09,31172
2025-01-31 15:35:00,120.08,120.22,119.51,119.64,41819
2025-01-31 15:40:00,119.64,119.78,119.2,119.2,52391
2025-01-31 15:45:00,119.21,120.24,119.19,119.98,58196
2025-01-31 15:50:00,119.98,120.35,119.69,120.08,60638
2025-01-31 15:55:00,120.08,120.28,119.98,120.0,76011
2025-02-03 09:30:00,114.76,114.99,113.01,114.41,194484
2025-02-03 09:35:00,114.38,114.48,113.35,114.08,95882
2025-02-03 09:40:00,114.08,114.99,113.62,114.47,75242
