date,open,high,low,close,volume
2025-01-31 09:30:00,607.5,607.88,607.18,607.39,12178
2025-01-31 09:35:00,607.42,607.83,607.06,607.66,4342
2025-01-31 09:40:00,607.67,607.98,607.51,607.77,2809
2025-01-31 09:45:00,607.76,608.0,607.5,607.58,2647
2025-01-31 09:50:00,607.58,608.1,607.35,607.97,2709
2025-01-31 09:55:00,607.95,608.16,607.69,608.11,2132
2025-01-31 10:00:00,608.12,608.8,608.04,608.7,4072
2025-01-31 10:05:00,608.7,608.82,608.25,608.66,3629
2025-01-31 10:10:00,608.66,608.99,608.47,608.79,3468
2025-01-31 10:15:00,608.8,608.9,608.68,608.78,3259
2025-01-31 10:20:00,608.78,609.02,608.31,608.9,2779
2025-01-31 10:25:00,608.88,609.01,608.77,608.96,2331
2025-01-31 10:30:00,608.96,609.54,608.95,609.51,3461
2025-01-31 10:35:00,609.51,609.54,609.19,609.46,4578
2025-01-31 10:40:00,609.47,609.49,609.0,609.02,2553
2025-01-31 10:45:00,609.01,609.51,608.85,609.47,1584
2025-01-31 10:50:00,609.46,609.55,609.08,609.29,2394
2025-01-31 10:55:00,609.26,609.63,609.24,609.45,2832
2025-01-31 11:00:00,609.46,609.81,609.46,609.62,3197
2025-01-31 11:05:00,609.63,609.84,609.55,609.82,2233
2025-01-31 11:10:00,609.83,609.96,609.78,609.8,3057
2025-01-31 11:15:00,609.81,609.84,609.47,609.63,1348
2025-01-31 11:20:00,609.64,609.65,609.31,609.46,2277
2025-01-31 11:25:00,609.48,609.5,609.06,609.09,1033
2025-01-31 11:30:00,609.09,609.39,608.97,609.14,2226
2025-01-31 11:35:00,609.12,609.28,608.81,608.94,2326
2025-01-31 11:40:00,608.95,609.07,608.66,608.91,1017
2025-01-31 11:45:00,608.89,608.97,608.72,608.95,1584
2025-01-31 11:50:00,608.96,608.99,608.53,608.93,1782
2025-01-31 11:55:00,608.94,608.95,608.73,608.89,1821
2025-01-31 12:00:00,608.89,609.04,608.68,608.69,1435
2025-01-31 12:05:00,608.69,608.8,608.01,608.8,6018
2025-01-31 12:10:00,608.83,608.98,608.26,608.88,3623
2025-01-31 12:15:00,608.9,609.01,608.46,608.75,2059
2025-01-31 12:20:00,608.74,609.39,608.69,609.36,2091
2025-01-31 12:25:00,609.37,609.55,609.26,609.55,1537
2025-01-31 12:30:00,609.55,609.73,609.33,609.34,2560
2025-01-31 12:35:00,609.35,609.52,609.3,609.34,991
2025-01-31 12:40:00,609.32,609.44,609.17,609.25,2229
2025-01-31 12:45:00,609.25,609.34,609.07,609.25,825
2025-01-31 12:50:00,609.24,609.51,609.17,609.37,1062
2025-01-31 12:55:00,609.35,609.35,608.93,609.09,945
2025-01-31 13:00:00,609.1,609.26,608.92,609.2,864
2025-01-31 13:05:00,609.21,609.35,609.09,609.1,837
2025-01-31 13:10:00,609.11,609.24,609.05,609.07,740
2025-01-31 13:15:00,609.07,609.19,607.62,607.8,3329
2025-01-31 13:20:00,607.71,608.33,607.26,607.68,10962
2025-01-31 13:25:00,607.66,607.67,606.69,606.85,7322
2025-01-31 13:30:00,606.82,607.03,605.18,605.23,8177
