entry_time,exit_time,symbol,direction,quantity,entry_price,exit_price,pnl,exit_reason,commission,slippage
2025-04-14 11:15:00,2025-04-14 11:25:00,SPY,BUY,1,540.95,538.52,-4.483973500000063,StopLoss,2.0,0.0539735
2025-04-14 11:30:00,2025-04-14 11:35:00,SPY,BUY,1,539.73,537.6,-4.183866499999995,StopLoss,2.0,0.0538665
2025-04-14 15:55:00,2025-04-15 09:30:00,SPY,BUY,1,538.97,540.26,-0.7639615000000364,TakeProfit,2.0,0.0539615
2025-04-17 10:20:00,2025-04-17 11:05:00,SPY,BUY,1,526.09,527.37,-0.7726730000000273,TIME,2.0,0.052673000000000005
2025-04-17 12:05:00,2025-04-17 12:35:00,SPY,BUY,1,528.22,529.01,-1.2628615000000363,TakeProfit,2.0,0.0528615
2025-04-17 13:20:00,2025-04-17 13:45:00,SPY,BUY,1,528.06,529.08,-1.0328569999999044,TakeProfit,2.0,0.052856999999999994
2025-04-22 11:45:00,2025-04-22 11:55:00,SPY,BUY,1,523.99,526.17,0.12749199999994998,TakeProfit,2.0,0.05250799999999999
2025-04-22 13:00:00,2025-04-22 13:10:00,SPY,BUY,1,527.78,525.68,-4.152673000000023,StopLoss,2.0,0.052673000000000005
2025-04-22 13:15:00,2025-04-22 13:20:00,SPY,BUY,1,525.0,523.49,-3.562424499999991,StopLoss,2.0,0.0524245
2025-04-22 15:15:00,2025-04-22 15:40:00,SPY,BUY,1,525.09,526.18,-0.9625635000000818,TakeProfit,2.0,0.0525635
2025-04-23 10:20:00,2025-04-23 11:05:00,SPY,BUY,1,542.92,542.45,-2.5242684999999137,TIME,2.0,0.0542685
2025-04-23 11:20:00,2025-04-23 11:25:00,SPY,BUY,1,539.94,538.59,-3.403926500000023,StopLoss,2.0,0.05392650000000001
2025-04-23 11:30:00,2025-04-23 11:45:00,SPY,BUY,1,538.54,536.14,-4.453733999999978,StopLoss,2.0,0.05373399999999999
2025-04-23 11:50:00,2025-04-23 12:20:00,SPY,BUY,1,536.73,534.6,-4.183566499999995,StopLoss,2.0,0.053566499999999996
2025-04-24 15:05:00,2025-04-24 15:20:00,SPY,BUY,1,545.13,545.4,-1.7845265000000181,TakeProfit,2.0,0.0545265
2025-04-25 13:40:00,2025-04-25 13:45:00,SPY,BUY,1,549.11,548.57,-2.5948839999999636,StopLoss,2.0,0.054884
2025-04-25 15:00:00,2025-04-25 15:30:00,SPY,BUY,1,550.4,549.43,-3.024991500000027,StopLoss,2.0,0.0549915
2025-04-29 10:25:00,2025-04-29 10:35:00,SPY,BUY,1,549.92,551.79,-0.18508549999999546,TakeProfit,2.0,0.0550855
2025-04-29 15:00:00,2025-04-29 15:05:00,SPY,BUY,1,554.32,554.7,-1.6754510000000045,TakeProfit,2.0,0.055451
2025-04-29 15:45:00,2025-04-29 15:45:00,SPY,BUY,1,554.94,554.94,-2.055494,StopLoss,2.0,0.05549400000000001
2025-04-30 13:10:00,2025-04-30 13:25:00,SPY,BUY,1,547.92,550.03,0.055102500000013654,TakeProfit,2.0,0.05489749999999999
