entry_time,exit_time,symbol,direction,quantity,entry_price,exit_price,pnl,exit_reason
2005-11-11 10:00:00,2005-11-15 14:00:00,SPY,long,576,123.43,122.95,-276.4800000000023,StopLoss
2005-11-15 15:00:00,2005-11-17 09:30:00,SPY,long,682,123.16,123.76,409.20000000000584,TakeProfit
2005-11-17 10:00:00,2005-11-17 14:00:00,SPY,long,649,123.74,124.2,298.5400000000052,StopLoss
2005-11-17 15:00:00,2005-11-18 10:00:00,SPY,long,659,124.53,124.67,92.26000000000037,TakeProfit
2005-11-18 11:00:00,2005-11-21 10:00:00,SPY,long,539,124.54,125.45,490.4899999999982,TakeProfit
2005-11-21 11:00:00,2005-11-22 14:00:00,SPY,long,489,125.23,126.34,542.7899999999997,TakeProfit
2005-11-22 15:00:00,2005-11-22 16:00:00,SPY,long,824,126.37,126.35,-16.48000000000843,StopLoss
2005-11-23 09:30:00,2005-11-23 12:00:00,SPY,long,850,126.49,127.11,527.0000000000039,TakeProfit
2005-11-23 13:00:00,2005-11-23 15:00:00,SPY,long,863,127.15,126.88,-233.01000000000883,StopLoss
2005-11-23 16:00:00,2005-11-28 09:30:00,SPY,long,849,127.0,126.64,-305.63999999999953,StopLoss
2005-11-28 10:00:00,2005-11-28 10:00:00,SPY,long,526,126.62,126.62,0.0,StopLoss
2005-11-28 11:00:00,2005-11-28 15:00:00,SPY,long,523,126.69,126.15,-282.41999999999587,StopLoss
2005-11-28 16:00:00,2005-11-30 10:00:00,SPY,long,531,126.23,126.29,31.860000000001207,StopLoss
2005-11-30 11:00:00,2005-12-01 10:00:00,SPY,short,569,126.01,126.48,-267.4299999999994,StopLoss
2005-12-01 11:00:00,2005-12-01 13:00:00,SPY,short,520,126.52,126.84,-166.40000000000384,StopLoss
2005-12-01 14:00:00,2005-12-02 10:00:00,SPY,short,513,126.84,126.74,51.300000000004374,CrossUp
2005-12-02 11:00:00,2005-12-05 10:00:00,SPY,long,681,126.86,126.23,-429.0299999999969,StopLoss
2005-12-05 11:00:00,2005-12-06 12:00:00,SPY,long,506,126.43,127.52,551.5399999999945,TakeProfit
2005-12-06 13:00:00,2005-12-06 14:00:00,SPY,long,482,127.61,127.5,-53.019999999999726,StopLoss
2005-12-06 15:00:00,2005-12-07 13:00:00,SPY,long,399,126.73,125.99,-295.26000000000363,StopLoss
2005-12-07 14:00:00,2005-12-07 15:00:00,SPY,long,507,125.8,126.15,177.4500000000043,CrossDown
2005-12-07 16:00:00,2005-12-08 11:00:00,SPY,short,547,126.12,126.73,-333.6699999999997,StopLoss
2005-12-08 12:00:00,2005-12-15 12:00:00,SPY,short,533,126.39,127.64,-666.25,CrossUp
2005-12-15 13:00:00,2005-12-16 11:00:00,SPY,long,324,127.7,126.97,-236.5200000000013,StopLoss
2005-12-16 12:00:00,2005-12-16 15:00:00,SPY,long,760,126.93,126.6,-250.8000000000095,StopLoss
2005-12-16 16:00:00,2005-12-19 09:30:00,SPY,long,557,126.4,126.56,89.1199999999981,CrossDown
2005-12-19 10:00:00,2005-12-19 15:00:00,SPY,short,543,126.59,125.78,439.83000000000123,TakeProfit
2005-12-19 16:00:00,2005-12-20 13:00:00,SPY,short,540,125.75,125.95,-108.00000000000153,StopLoss
