lookback,sl_mult,tp_mult,atr_thresh,pnl,sharpe,max_drawdown,win_rate
10,0.5,0.5,1.0,-5268.6517785,-172.93766658310628,-5266.759669500003,1.7470565894417016
10,0.5,0.5,2.0,-1956.4372015,-149.93390962435083,-1954.3728239999982,3.061224489795918
10,0.5,0.5,3.0,-626.5474744999999,-127.56353732304348,-624.4830970000003,5.414012738853503
10,0.5,0.5,5.0,-102.72765549999991,-90.18743463238293,-103.5275099999999,4.0
10,0.5,1.0,1.0,-4965.1396145,-161.65119866356054,-4965.481385000003,3.910614525139665
10,0.5,1.0,2.0,-1850.1388649999997,-134.67267803693704,-1850.5183775000005,6.602768903088392
10,0.5,1.0,3.0,-577.8732359999997,-107.88920198128496,-578.2527484999991,8.0
10,0.5,1.0,5.0,-90.20363299999995,-67.88265284550017,-91.00348750000194,8.333333333333332
10,0.5,1.5,1.0,-4815.2196030000005,-155.69897481451218,-4817.691267000006,5.018510900863842
10,0.5,1.5,2.0,-1792.3421265,-124.29165100848131,-1794.8515325000008,6.557377049180328
10,0.5,1.5,3.0,-556.7976285,-93.70130986416326,-559.3070345000015,7.26643598615917
10,0.5,1.5,5.0,-89.30358799999996,-65.78167831471467,-87.34330449999834,8.333333333333332
10,0.5,2.0,1.0,-4731.6861815,-153.1570487023113,-4729.584062000009,5.084033613445378
10,0.5,2.0,2.0,-1788.6124960000002,-122.70951710970886,-1786.5481185000026,5.89543937708565
10,0.5,2.0,3.0,-590.7636845,-99.56653991705994,-588.6993070000026,5.944055944055944
10,0.5,2.0,5.0,-113.72480900000001,-80.57521989580242,-111.76452549999885,6.25
10,1.0,0.5,1.0,-4163.2716175000005,-130.32454837923876,-4161.379508499995,6.67302192564347
10,1.0,0.5,2.0,-1557.2505635,-94.5017773038354,-1555.1861860000026,13.188220230473751
10,1.0,0.5,3.0,-487.82416250000006,-74.27610349458057,-485.759785000002,22.672064777327936
10,1.0,0.5,5.0,-59.58559500000005,-40.16263302662182,-62.56585600000108,35.8974358974359
10,1.0,1.0,1.0,-3607.809251999999,-113.42170643876071,-3608.1510224999984,13.651137594799568
10,1.0,1.0,2.0,-1390.6797834999998,-82.99192890959614,-1391.059296000003,23.597122302158276
10,1.0,1.0,3.0,-459.5558305,-67.57124540837009,-459.935343000001,27.67857142857143
10,1.0,1.0,5.0,-97.49587549999994,-64.36476765908074,-96.14635300000009,28.205128205128204
10,1.0,1.5,1.0,-3255.9826045,-101.77503743039735,-3258.454268499998,17.75700934579439
10,1.0,1.5,2.0,-1236.9834974999999,-71.39667880847956,-1239.4929035000023,23.98753894080997
10,1.0,1.5,3.0,-391.71072100000026,-52.953359259704335,-394.51116900000125,26.34146341463415
10,1.0,1.5,5.0,-56.43046949999991,-33.57857381077665,-66.88779449999856,37.142857142857146
10,1.0,2.0,1.0,-3136.8042119999986,-96.72326009742177,-3134.702092499996,18.154219793564057
10,1.0,2.0,2.0,-1161.4796949999998,-64.78491346715028,-1161.4435980000017,21.9672131147541
10,1.0,2.0,3.0,-421.5123385000001,-55.907598556878554,-419.7390030000024,21.5
10,1.0,2.0,5.0,-69.9497305,-43.95013524005366,-70.23058900000251,27.27272727272727
10,1.5,0.5,1.0,-3626.395486000001,-111.96947026428731,-3624.576935499994,9.92946283233858
10,1.5,0.5,2.0,-1386.4785920000002,-77.97308340902882,-1384.4877730000007,18.848920863309353
10,1.5,0.5,3.0,-449.9080639999999,-59.14445974623474,-447.91724500000055,30.80357142857143
10,1.5,0.5,5.0,-68.65412949999998,-36.92092590350607,-71.63439049999943,45.94594594594595
10,1.5,1.0,1.0,-3134.5583404999998,-92.42772381509045,-3135.807123499995,19.658659924146647
10,1.5,1.0,2.0,-1298.962613,-65.48099579042652,-1300.2491380000029,34.053156146179404
10,1.5,1.0,3.0,-489.0449374999998,-58.43495777531917,-503.1221020000012,37.62376237623762
10,1.5,1.0,5.0,-124.9512385,-64.37902076166013,-123.6017159999974,36.11111111111111
10,1.5,1.5,1.0,-2731.3151580000003,-81.95938083785182,-2736.6237379999984,27.23463687150838
10,1.5,1.5,2.0,-1039.6759084999999,-53.11212513177044,-1047.523159999997,37.47714808043875
10,1.5,1.5,3.0,-401.7430375,-47.52210167178688,-419.8799990000007,36.41304347826087
10,1.5,1.5,5.0,-61.66378149999998,-28.16313111063965,-70.15120500000194,50.0
10,1.5,2.0,1.0,-2600.2246765,-78.08592688931307,-2615.7513670000044,27.609178386380457
10,1.5,2.0,2.0,-958.5823435000004,-47.204048324276904,-986.8569635000022,34.11764705882353
10,1.5,2.0,3.0,-369.75641050000024,-43.58692023441819,-398.1114825000004,32.18390804597701
10,1.5,2.0,5.0,-41.10274100000004,-20.46402901781567,-51.57940199999939,41.37931034482759
10,2.0,0.5,1.0,-3533.6522645000005,-104.5036290892945,-3531.833713999993,11.275626423690206
10,2.0,0.5,2.0,-1390.45775,-71.61366262940138,-1388.4669310000027,20.933734939759034
10,2.0,0.5,3.0,-494.6723364999996,-57.40808039936429,-492.68151750000106,33.02325581395349
10,2.0,0.5,5.0,-125.2440964999999,-59.830960529109845,-129.08628300000055,42.857142857142854
10,2.0,1.0,1.0,-2919.7934275000007,-84.74328434444107,-2921.0422104999925,22.455902306648575
10,2.0,1.0,2.0,-1182.1716069999993,-59.20495074163736,-1183.4581320000034,38.612099644128115
10,2.0,1.0,3.0,-501.72581799999944,-55.17427375189193,-508.2526050000015,41.8848167539267
10,2.0,1.0,5.0,-181.08108249999995,-83.74062089484727,-179.73156000000017,32.35294117647059
10,2.0,1.5,1.0,-2548.1712905000004,-74.86902400432393,-2553.479870500003,30.461073318216176
