entry_time,exit_time,symbol,direction,quantity,entry_price,exit_price,pnl,exit_reason,commission,slippage
2005-08-16 15:00:00,2005-08-17 16:00:00,SPY,SELL,1,122.13,122.23,-2.1122180000000084,TIME,2.0,0.012218000000000001
2005-08-30 10:00:00,2005-08-31 09:30:00,SPY,SELL,1,120.83,121.04,-2.222093500000008,StopLoss,2.0,0.0120935
2005-09-21 13:00:00,2005-09-22 14:00:00,SPY,SELL,1,121.15,121.24,-2.102119499999989,TIME,2.0,0.0121195
2005-09-23 09:30:00,2005-09-26 10:00:00,SPY,SELL,1,121.0,121.97,-2.9821484999999988,TIME,2.0,0.0121485
2005-10-05 15:00:00,2005-10-05 15:00:00,SPY,SELL,1,119.64,119.64,-2.011964,TakeProfit,2.0,0.011964
2005-10-06 13:00:00,2005-10-07 14:00:00,SPY,SELL,1,119.21,119.44,-2.241932500000004,TIME,2.0,0.011932499999999999
2005-10-27 09:30:00,2005-10-27 09:30:00,SPY,SELL,1,119.16,119.16,-2.011916,TakeProfit,2.0,0.011916
2005-10-27 14:00:00,2005-10-28 15:00:00,SPY,SELL,1,118.35,119.9,-3.5619125000000116,TIME,2.0,0.0119125
2005-12-13 14:00:00,2005-12-13 14:00:00,SPY,BUY,1,127.58,127.58,-2.012758,TakeProfit,2.0,0.012758
2005-12-14 13:00:00,2005-12-14 13:00:00,SPY,BUY,1,127.97,127.97,-2.012797,StopLoss,2.0,0.012797
2005-12-15 10:00:00,2005-12-16 11:00:00,SPY,SELL,1,127.41,126.97,-1.5727190000000022,TIME,2.0,0.012719
2006-02-09 14:00:00,2006-02-10 15:00:00,SPY,SELL,1,126.92,126.82,-1.9126869999999914,TIME,2.0,0.012687
2006-03-24 10:00:00,2006-03-27 11:00:00,SPY,BUY,1,130.47,129.88,-2.6030175000000035,TIME,2.0,0.013017500000000001
2006-05-18 15:00:00,2006-05-18 15:00:00,SPY,SELL,1,126.37,126.37,-2.012637,TakeProfit,2.0,0.012637
