lookback,sl_mult,tp_mult,atr_thresh,pnl,sharpe,max_drawdown,win_rate
70,1.5,2.0,5.0,8.856822500000039,-16.078929712498894,-42.22994949999702,50.0
80,1.5,2.0,5.0,8.856822500000039,-16.078929712498894,-42.22994949999702,50.0
90,1.5,2.0,5.0,8.856822500000039,-16.078929712498894,-42.22994949999702,50.0
100,1.5,2.0,5.0,8.856822500000039,-16.078929712498894,-42.22994949999702,50.0
40,1.5,2.0,5.0,8.352238000000007,-10.133730011145872,-36.89572049999697,53.333333333333336
45,1.5,2.0,5.0,6.446355000000031,-20.225352726099416,-46.98565299999973,50.0
50,1.5,2.0,5.0,6.446355000000031,-20.225352726099416,-46.98565299999973,50.0
40,2.0,1.5,5.0,4.484695999999991,7.232391838013289,-27.57107050000195,64.70588235294117
70,1.5,1.5,5.0,3.5897435000000453,2.8642858675285856,-28.22091449999789,64.28571428571429
80,1.5,1.5,5.0,3.5897435000000453,2.8642858675285856,-28.22091449999789,64.28571428571429
