fast_ma,slow_ma,sl_mult,tp_mult,atr_thresh,pnl,sharpe,max_drawdown,win_rate
30,200,1.5,2.0,1.0,158197.9100000001,6.504216851652146,-35381.83999999997,44.16909620991253
10,200,1.5,2.0,1.0,157847.93999999994,6.770999339250805,-35344.80999999997,43.64879453040662
10,200,1.5,1.5,1.0,153642.07000000012,5.680175023521821,-30524.599999999977,47.121473805411625
10,200,1.0,1.5,1.0,142155.7100000006,3.120243956407061,-39811.369999999966,36.6779089376054
30,200,1.0,1.5,1.0,136964.68000000078,2.971896525293017,-38561.24999999997,36.938083121289225
30,200,1.5,1.5,1.0,110866.53000000006,4.679726009385944,-23996.349999999948,47.500730780473546
10,200,1.5,1.0,1.0,108277.9,4.141307656671016,-24765.579999999987,49.4752308984047
10,100,1.5,2.0,1.0,106637.35999999975,5.219779038758645,-25425.22999999998,42.20598469032707
20,200,1.5,2.0,1.0,105655.1300000001,5.075430817896218,-25249.839999999986,43.78397970279087
20,100,1.5,2.0,1.0,105187.34999999992,4.939517597786717,-25148.50999999998,43.078004216444135
