entry_time,exit_time,symbol,direction,quantity,entry_price,exit_price,pnl,exit_reason
2005-06-13 16:00:00,2005-06-24 15:00:00,SPY,long,170,120.56,119.09,-249.8999999999998,StopLoss
2005-06-24 16:00:00,2005-06-27 13:00:00,SPY,long,399,119.06,118.78,-111.72000000000045,CrossDown
2005-06-27 14:00:00,2005-06-28 09:30:00,SPY,short,462,118.98,119.69,-328.01999999999714,StopLoss
2005-06-28 10:00:00,2005-06-28 15:00:00,SPY,short,461,119.69,120.18,-225.8900000000042,StopLoss
2005-06-28 16:00:00,2005-06-30 14:00:00,SPY,short,557,120.21,119.59,345.33999999999463,TakeProfit
2005-06-30 15:00:00,2005-06-30 15:00:00,SPY,short,456,119.06,119.06,-0.0,StopLoss
2005-06-30 16:00:00,2005-07-01 10:00:00,SPY,short,477,119.16,119.55,-186.03000000000026,StopLoss
2005-07-01 11:00:00,2005-07-05 10:00:00,SPY,short,429,119.33,120.18,-364.6500000000037,StopLoss
2005-07-05 11:00:00,2005-07-07 09:30:00,SPY,short,386,120.12,118.49,629.1800000000037,TakeProfit
2005-07-07 10:00:00,2005-07-07 12:00:00,SPY,short,347,118.5,119.11,-211.6699999999998,StopLoss
2005-07-07 13:00:00,2005-07-08 10:00:00,SPY,short,246,119.36,120.42,-260.76000000000056,StopLoss
2005-07-08 11:00:00,2005-07-11 10:00:00,SPY,short,229,120.64,121.81,-267.9300000000004,StopLoss
2005-07-11 11:00:00,2005-07-11 16:00:00,SPY,short,413,121.92,121.98,-24.78000000000094,CrossUp
2005-07-12 09:30:00,2005-07-12 13:00:00,SPY,long,502,122.04,122.42,190.75999999999772,StopLoss
2005-07-12 14:00:00,2005-07-14 09:30:00,SPY,long,399,122.32,122.98,263.3400000000043,TakeProfit
2005-07-14 10:00:00,2005-07-18 10:00:00,SPY,long,390,122.92,122.47,-175.5000000000011,StopLoss
2005-07-18 11:00:00,2005-07-19 10:00:00,SPY,long,573,122.44,122.78,194.82000000000195,TakeProfit
2005-07-19 11:00:00,2005-07-20 13:00:00,SPY,long,469,122.7,123.39,323.60999999999893,TakeProfit
2005-07-20 14:00:00,2005-07-21 10:00:00,SPY,long,401,123.21,122.64,-228.56999999999726,StopLoss
2005-07-21 11:00:00,2005-07-22 14:00:00,SPY,long,335,122.74,123.35,204.3499999999998,TakeProfit
2005-07-22 15:00:00,2005-08-01 09:30:00,SPY,long,266,123.43,123.88,119.69999999999698,StopLoss
2005-08-01 10:00:00,2005-08-02 10:00:00,SPY,long,322,123.66,124.24,186.75999999999945,TakeProfit
2005-08-02 11:00:00,2005-08-05 09:30:00,SPY,long,223,124.38,123.27,-247.52999999999986,StopLoss
2005-08-05 10:00:00,2005-08-08 14:00:00,SPY,long,481,123.06,122.57,-235.69000000000437,StopLoss
2005-08-08 15:00:00,2005-08-09 09:30:00,SPY,long,500,122.42,123.15,365.000000000002,TakeProfit
2005-08-09 10:00:00,2005-08-10 09:30:00,SPY,long,504,123.22,124.25,519.1200000000006,TakeProfit
2005-08-10 10:00:00,2005-08-10 10:00:00,SPY,long,428,124.39,124.39,0.0,StopLoss
2005-08-10 11:00:00,2005-08-10 12:00:00,SPY,long,436,124.27,123.94,-143.87999999999926,StopLoss
2005-08-10 13:00:00,2005-08-10 15:00:00,SPY,long,393,123.7,123.12,-227.93999999999932,StopLoss
2005-08-10 16:00:00,2005-08-11 12:00:00,SPY,long,370,123.37,123.33,-14.800000000002314,StopLoss
2005-08-11 13:00:00,2005-08-12 10:00:00,SPY,long,289,123.3,123.45,43.35000000000164,TakeProfit
2005-08-12 11:00:00,2005-08-16 10:00:00,SPY,long,174,123.0,122.8,-34.800000000000495,StopLoss
2005-08-17 16:00:00,2005-08-22 09:30:00,SPY,short,327,122.23,123.05,-268.13999999999777,StopLoss
2005-08-22 10:00:00,2005-08-22 12:00:00,SPY,short,487,123.12,122.21,443.17000000000525,TakeProfit
2005-08-22 13:00:00,2005-08-24 15:00:00,SPY,short,443,122.38,121.24,505.02000000000027,TakeProfit
2005-08-24 16:00:00,2005-08-26 10:00:00,SPY,short,375,121.12,121.06,22.500000000000853,StopLoss
2005-08-26 11:00:00,2005-08-26 15:00:00,SPY,short,390,120.79,120.82,-11.699999999994901,StopLoss
2005-08-26 16:00:00,2005-08-29 13:00:00,SPY,short,370,120.72,121.56,-310.80000000000126,StopLoss
2005-08-29 14:00:00,2005-08-29 16:00:00,SPY,short,323,121.48,121.63,-48.449999999997246,StopLoss
2005-08-30 09:30:00,2005-08-31 15:00:00,SPY,short,173,120.99,122.39,-242.20000000000098,StopLoss
2005-08-31 16:00:00,2005-09-06 15:00:00,SPY,short,223,122.54,123.75,-269.8299999999986,StopLoss
2005-09-06 16:00:00,2005-09-07 10:00:00,SPY,short,472,123.72,123.81,-42.48000000000161,CrossUp
2005-09-07 11:00:00,2005-09-07 12:00:00,SPY,long,496,123.74,123.85,54.55999999999972,StopLoss
2005-09-07 13:00:00,2005-09-07 13:00:00,SPY,long,378,123.87,123.87,0.0,StopLoss
2005-09-07 14:00:00,2005-09-14 14:00:00,SPY,long,368,123.91,123.26,-239.19999999999686,StopLoss
2005-09-14 15:00:00,2005-09-20 14:00:00,SPY,long,451,123.18,122.3,-396.8800000000044,StopLoss
2005-09-20 15:00:00,2005-09-21 09:30:00,SPY,long,424,122.1,121.64,-195.03999999999735,StopLoss
2005-09-21 10:00:00,2005-09-23 10:00:00,SPY,long,392,121.79,121.27,-203.840000000004,CrossDown
2005-09-23 11:00:00,2005-09-26 09:30:00,SPY,short,345,121.4,121.81,-141.44999999999882,StopLoss
2005-09-26 10:00:00,2005-09-29 15:00:00,SPY,short,298,121.97,122.81,-250.32000000000102,StopLoss
2005-09-29 16:00:00,2005-09-30 15:00:00,SPY,short,341,122.62,122.82,-68.19999999999612,TakeProfit
2005-09-30 16:00:00,2005-10-04 14:00:00,SPY,short,287,123.02,121.82,344.40000000000083,TakeProfit
2005-10-04 15:00:00,2005-10-04 15:00:00,SPY,short,331,121.38,121.38,-0.0,StopLoss
2005-10-04 16:00:00,2005-10-05 10:00:00,SPY,short,363,121.17,120.93,87.11999999999814,StopLoss
2005-10-05 11:00:00,2005-10-05 12:00:00,SPY,short,298,120.4,120.66,-77.47999999999729,StopLoss
2005-10-05 13:00:00,2005-10-07 14:00:00,SPY,short,231,120.67,119.44,284.1300000000009,TakeProfit
2005-10-07 15:00:00,2005-10-10 14:00:00,SPY,short,268,119.67,118.85,219.76000000000198,TakeProfit
2005-10-10 15:00:00,2005-10-12 12:00:00,SPY,short,288,118.77,117.93,241.9199999999969,TakeProfit
2005-10-12 13:00:00,2005-10-14 15:00:00,SPY,short,293,117.89,118.75,-251.97999999999985,StopLoss
2005-10-14 16:00:00,2005-10-19 09:30:00,SPY,short,287,118.68,117.4,367.36000000000035,TakeProfit
2005-10-19 10:00:00,2005-10-19 10:00:00,SPY,short,337,117.81,117.81,-0.0,StopLoss
2005-10-19 11:00:00,2005-10-19 13:00:00,SPY,short,329,117.39,118.17,-256.62000000000035,StopLoss
2005-10-19 14:00:00,2005-10-20 13:00:00,SPY,short,267,118.92,118.86,16.020000000000607,StopLoss
2005-10-20 14:00:00,2005-10-24 12:00:00,SPY,short,233,118.5,119.39,-207.37000000000012,StopLoss
2005-10-24 13:00:00,2005-10-26 11:00:00,SPY,short,263,119.53,120.08,-144.64999999999924,StopLoss
2005-10-26 12:00:00,2005-10-31 09:30:00,SPY,short,279,119.97,120.86,-248.31000000000017,StopLoss
2005-10-31 10:00:00,2005-11-01 16:00:00,SPY,short,296,120.75,120.43,94.71999999999798,CrossUp
2005-11-02 09:30:00,2005-11-02 10:00:00,SPY,long,376,120.63,120.98,131.6000000000032,StopLoss
2005-11-02 11:00:00,2005-11-03 09:30:00,SPY,long,331,121.25,122.45,397.20000000000095,TakeProfit
2005-11-03 10:00:00,2005-11-04 16:00:00,SPY,long,325,122.22,122.11,-35.749999999999815,StopLoss
2005-11-07 09:30:00,2005-11-10 10:00:00,SPY,long,310,122.21,122.01,-61.999999999996476,StopLoss
2005-11-10 11:00:00,2005-11-10 13:00:00,SPY,long,354,122.09,123.12,364.6200000000004,TakeProfit
2005-11-10 14:00:00,2005-11-17 15:00:00,SPY,long,310,123.46,124.53,331.7000000000023,TakeProfit
2005-11-17 16:00:00,2005-11-18 10:00:00,SPY,long,439,124.56,124.67,48.28999999999975,TakeProfit
2005-11-18 11:00:00,2005-11-21 10:00:00,SPY,long,350,124.54,125.45,318.4999999999988,TakeProfit
2005-11-21 11:00:00,2005-11-22 14:00:00,SPY,long,315,125.23,126.34,349.6499999999998,TakeProfit
2005-11-22 15:00:00,2005-11-23 12:00:00,SPY,long,527,126.37,127.11,389.9799999999973,TakeProfit
2005-11-23 13:00:00,2005-11-28 09:30:00,SPY,long,550,127.15,126.64,-280.50000000000284,StopLoss
2005-11-28 10:00:00,2005-11-28 10:00:00,SPY,long,338,126.62,126.62,0.0,StopLoss
2005-11-28 11:00:00,2005-11-30 10:00:00,SPY,long,336,126.69,126.29,-134.39999999999714,StopLoss
2005-11-30 11:00:00,2005-11-30 15:00:00,SPY,long,367,126.01,125.33,-249.5600000000025,StopLoss
2005-11-30 16:00:00,2005-12-01 09:30:00,SPY,long,355,125.45,126.32,308.84999999999656,TakeProfit
2005-12-01 10:00:00,2005-12-05 10:00:00,SPY,long,322,126.48,126.23,-80.5,StopLoss
2005-12-05 11:00:00,2005-12-06 12:00:00,SPY,long,337,126.43,127.52,367.32999999999635,TakeProfit
2005-12-06 13:00:00,2005-12-06 14:00:00,SPY,long,319,127.61,127.5,-35.08999999999982,StopLoss
2005-12-06 15:00:00,2005-12-07 14:00:00,SPY,long,264,126.73,125.8,-245.5200000000018,StopLoss
2005-12-07 15:00:00,2005-12-15 12:00:00,SPY,long,338,126.15,127.64,503.6199999999983,TakeProfit
2005-12-15 13:00:00,2005-12-16 15:00:00,SPY,long,226,127.7,126.6,-248.60000000000193,StopLoss
