entry_time,exit_time,symbol,direction,quantity,entry_price,exit_price,pnl,exit_reason
2025-01-31 13:35:00,2025-01-31 13:35:00,SPY,short,1,605.82,605.82,-0.0,TakeProfit
2025-01-31 13:40:00,2025-01-31 13:50:00,SPY,short,1,605.97,605.57,0.39999999999997726,TakeProfit
2025-01-31 13:55:00,2025-01-31 14:05:00,SPY,short,1,605.38,603.8,1.580000000000041,TakeProfit
2025-01-31 14:10:00,2025-01-31 14:20:00,SPY,short,1,604.84,604.51,0.3300000000000409,TakeProfit
2025-01-31 14:25:00,2025-01-31 14:40:00,SPY,short,1,604.53,602.84,1.6899999999999409,TakeProfit
2025-01-31 14:45:00,2025-01-31 15:00:00,SPY,short,1,602.98,601.68,1.3000000000000682,TakeProfit
2025-01-31 15:05:00,2025-01-31 15:50:00,SPY,short,1,601.59,601.99,-0.39999999999997726,StopLoss
2025-01-31 15:55:00,2025-02-03 09:30:00,SPY,short,1,601.8,593.5,8.299999999999955,TakeProfit
2025-02-03 09:35:00,2025-02-03 09:45:00,SPY,short,1,594.29,592.73,1.5599999999999454,TakeProfit
2025-02-03 09:50:00,2025-02-03 10:20:00,SPY,short,1,592.01,595.12,-3.1100000000000136,StopLoss
2025-02-03 10:25:00,2025-02-03 10:40:00,SPY,short,1,596.38,598.13,-1.75,StopLoss
2025-02-03 10:45:00,2025-02-03 10:45:00,SPY,short,1,597.47,597.47,-0.0,TakeProfit
2025-02-03 10:50:00,2025-02-03 12:20:00,SPY,short,1,597.53,598.5,-0.9700000000000273,CrossUp
2025-02-03 12:25:00,2025-02-03 12:25:00,SPY,long,1,597.4,597.4,0.0,TakeProfit
2025-02-03 12:30:00,2025-02-03 12:50:00,SPY,long,1,596.92,597.87,0.9500000000000455,TakeProfit
2025-02-03 12:55:00,2025-02-03 12:55:00,SPY,long,1,597.38,597.38,0.0,StopLoss
2025-02-03 13:00:00,2025-02-03 13:00:00,SPY,long,1,597.47,597.47,0.0,StopLoss
2025-02-03 13:05:00,2025-02-03 13:05:00,SPY,long,1,596.72,596.72,0.0,TakeProfit
2025-02-03 13:10:00,2025-02-03 13:10:00,SPY,long,1,597.56,597.56,0.0,StopLoss
2025-02-03 13:15:00,2025-02-03 13:35:00,SPY,long,1,597.39,598.2,0.8100000000000591,TakeProfit
2025-02-03 13:40:00,2025-02-03 13:50:00,SPY,long,1,597.84,598.77,0.92999999999995,TakeProfit
2025-02-03 13:55:00,2025-02-03 14:15:00,SPY,long,1,598.84,599.88,1.0399999999999636,TakeProfit
2025-02-03 14:20:00,2025-02-03 14:35:00,SPY,long,1,599.88,599.47,-0.40999999999996817,StopLoss
2025-02-03 14:40:00,2025-02-03 14:40:00,SPY,long,1,599.91,599.91,0.0,StopLoss
2025-02-03 14:45:00,2025-02-03 14:55:00,SPY,long,1,600.14,599.68,-0.4600000000000364,StopLoss
2025-02-03 15:00:00,2025-02-03 15:00:00,SPY,long,1,599.92,599.92,0.0,StopLoss
2025-02-03 15:05:00,2025-02-03 15:05:00,SPY,long,1,599.35,599.35,0.0,TakeProfit
2025-02-03 15:10:00,2025-02-03 15:20:00,SPY,long,1,599.01,599.37,0.36000000000001364,TakeProfit
2025-02-03 15:25:00,2025-02-03 15:25:00,SPY,long,1,598.55,598.55,0.0,TakeProfit
2025-02-03 15:30:00,2025-02-03 15:45:00,SPY,long,1,598.67,598.49,-0.17999999999994998,StopLoss
2025-02-03 15:50:00,2025-02-03 15:55:00,SPY,long,1,598.26,597.65,-0.6100000000000136,StopLoss
2025-02-04 09:30:00,2025-02-04 09:30:00,SPY,long,1,597.98,597.98,0.0,StopLoss
2025-02-04 09:35:00,2025-02-04 09:55:00,SPY,long,1,598.29,599.0,0.7100000000000364,TakeProfit
2025-02-04 10:00:00,2025-02-04 10:00:00,SPY,long,1,599.8,599.8,0.0,StopLoss
2025-02-04 10:05:00,2025-02-04 10:05:00,SPY,long,1,600.51,600.51,0.0,StopLoss
2025-02-04 10:10:00,2025-02-04 10:40:00,SPY,long,1,600.45,600.99,0.5399999999999636,TakeProfit
2025-02-04 10:45:00,2025-02-04 10:55:00,SPY,long,1,600.85,600.33,-0.5199999999999818,StopLoss
2025-02-04 11:00:00,2025-02-04 11:00:00,SPY,long,1,601.16,601.16,0.0,StopLoss
2025-02-04 11:05:00,2025-02-04 11:25:00,SPY,long,1,601.3,601.98,0.6800000000000637,TakeProfit
2025-02-04 11:30:00,2025-02-04 11:45:00,SPY,long,1,601.71,601.09,-0.6200000000000045,StopLoss
2025-02-04 11:50:00,2025-02-04 12:15:00,SPY,long,1,601.31,600.56,-0.75,StopLoss
2025-02-04 12:20:00,2025-02-04 12:25:00,SPY,long,1,600.59,599.76,-0.8300000000000409,StopLoss
2025-02-04 12:30:00,2025-02-04 12:35:00,SPY,long,1,599.76,600.14,0.37999999999999545,TakeProfit
2025-02-04 12:40:00,2025-02-04 13:20:00,SPY,long,1,600.43,601.13,0.7000000000000455,TakeProfit
2025-02-04 13:25:00,2025-02-04 13:35:00,SPY,long,1,601.13,600.87,-0.2599999999999909,CrossDown
2025-02-04 13:40:00,2025-02-04 13:45:00,SPY,short,1,600.97,601.05,-0.07999999999992724,CrossUp
2025-02-04 13:50:00,2025-02-04 13:55:00,SPY,long,1,601.0,600.73,-0.2699999999999818,CrossDown
2025-02-04 14:00:00,2025-02-04 14:00:00,SPY,long,1,601.19,601.19,0.0,StopLoss
2025-02-04 14:05:00,2025-02-04 14:05:00,SPY,long,1,601.52,601.52,0.0,StopLoss
2025-02-04 14:10:00,2025-02-04 14:20:00,SPY,long,1,601.67,601.89,0.22000000000002728,TakeProfit
2025-02-04 14:25:00,2025-02-04 14:35:00,SPY,long,1,601.86,602.02,0.15999999999996817,TakeProfit
2025-02-04 14:40:00,2025-02-04 14:50:00,SPY,long,1,602.01,601.89,-0.12000000000000455,StopLoss
2025-02-04 14:55:00,2025-02-04 14:55:00,SPY,long,1,601.48,601.48,0.0,StopLoss
2025-02-04 15:00:00,2025-02-04 15:10:00,SPY,long,1,601.43,601.84,0.41000000000008185,TakeProfit
2025-02-04 15:15:00,2025-02-04 15:20:00,SPY,long,1,601.64,601.29,-0.35000000000002274,StopLoss
2025-02-04 15:25:00,2025-02-04 15:35:00,SPY,long,1,601.09,601.82,0.7300000000000182,TakeProfit
2025-02-04 15:40:00,2025-02-04 15:55:00,SPY,long,1,601.6,601.76,0.15999999999996817,TakeProfit
2025-02-05 09:30:00,2025-02-05 09:35:00,SPY,long,1,600.42,600.99,0.57000000000005,TakeProfit
2025-02-05 09:40:00,2025-02-05 09:50:00,SPY,long,1,600.89,600.19,-0.6999999999999318,StopLoss
2025-02-05 09:55:00,2025-02-05 09:55:00,SPY,long,1,600.12,600.12,0.0,StopLoss
2025-02-05 10:00:00,2025-02-05 10:00:00,SPY,short,1,598.73,598.73,-0.0,StopLoss
2025-02-05 10:05:00,2025-02-05 10:05:00,SPY,short,1,599.44,599.44,-0.0,TakeProfit
2025-02-05 10:10:00,2025-02-05 10:10:00,SPY,short,1,599.95,599.95,-0.0,TakeProfit
2025-02-05 10:15:00,2025-02-05 10:25:00,SPY,short,1,599.62,600.63,-1.009999999999991,StopLoss
2025-02-05 10:30:00,2025-02-05 11:30:00,SPY,short,1,600.52,601.42,-0.8999999999999773,StopLoss
2025-02-05 11:35:00,2025-02-05 11:45:00,SPY,short,1,601.61,602.11,-0.5,StopLoss
2025-02-05 11:50:00,2025-02-05 13:40:00,SPY,long,1,602.68,603.1,0.42000000000007276,TakeProfit
2025-02-05 13:45:00,2025-02-05 13:55:00,SPY,long,1,603.1,602.93,-0.17000000000007276,StopLoss
2025-02-05 14:00:00,2025-02-05 14:05:00,SPY,long,1,603.12,603.52,0.39999999999997726,TakeProfit
2025-02-05 14:10:00,2025-02-05 14:30:00,SPY,long,1,603.47,603.23,-0.2400000000000091,StopLoss
2025-02-05 14:35:00,2025-02-05 14:50:00,SPY,long,1,603.3,602.95,-0.34999999999990905,StopLoss
2025-02-05 14:55:00,2025-02-05 15:00:00,SPY,long,1,603.07,603.25,0.17999999999994998,TakeProfit
2025-02-05 15:05:00,2025-02-05 15:05:00,SPY,long,1,603.33,603.33,0.0,StopLoss
2025-02-05 15:10:00,2025-02-05 15:15:00,SPY,long,1,603.4,603.68,0.2799999999999727,TakeProfit
2025-02-05 15:20:00,2025-02-05 15:20:00,SPY,long,1,603.94,603.94,0.0,StopLoss
2025-02-05 15:25:00,2025-02-05 15:35:00,SPY,long,1,603.73,603.48,-0.25,StopLoss
2025-02-05 15:40:00,2025-02-05 15:40:00,SPY,long,1,603.02,603.02,0.0,TakeProfit
2025-02-05 15:45:00,2025-02-05 15:50:00,SPY,long,1,603.12,603.5,0.37999999999999545,TakeProfit
2025-02-05 15:55:00,2025-02-05 15:55:00,SPY,long,1,604.16,604.16,0.0,StopLoss
2025-02-06 09:30:00,2025-02-06 09:35:00,SPY,long,1,605.6,605.22,-0.37999999999999545,StopLoss
2025-02-06 09:40:00,2025-02-06 09:55:00,SPY,long,1,605.63,605.27,-0.36000000000001364,StopLoss
2025-02-06 10:00:00,2025-02-06 10:10:00,SPY,long,1,605.05,605.73,0.6800000000000637,TakeProfit
2025-02-06 10:15:00,2025-02-06 10:20:00,SPY,long,1,605.67,605.1,-0.5699999999999363,StopLoss
2025-02-06 10:25:00,2025-02-06 10:35:00,SPY,long,1,604.94,604.45,-0.4900000000000091,TakeProfit
2025-02-06 10:40:00,2025-02-06 10:40:00,SPY,long,1,604.7,604.7,0.0,TakeProfit
2025-02-06 10:45:00,2025-02-06 11:05:00,SPY,long,1,604.46,605.15,0.6899999999999409,TakeProfit
2025-02-06 11:10:00,2025-02-06 11:35:00,SPY,long,1,605.59,605.17,-0.42000000000007276,StopLoss
2025-02-06 11:40:00,2025-02-06 11:50:00,SPY,long,1,605.02,605.39,0.37000000000000455,TakeProfit
2025-02-06 11:55:00,2025-02-06 12:15:00,SPY,long,1,605.12,605.34,0.22000000000002728,StopLoss
2025-02-06 12:20:00,2025-02-06 12:25:00,SPY,long,1,605.58,605.14,-0.44000000000005457,StopLoss
2025-02-06 12:30:00,2025-02-06 12:50:00,SPY,long,1,605.15,605.63,0.4800000000000182,TakeProfit
2025-02-06 12:55:00,2025-02-06 13:05:00,SPY,long,1,605.61,605.59,-0.01999999999998181,TakeProfit
2025-02-06 13:10:00,2025-02-06 13:10:00,SPY,long,1,605.47,605.47,0.0,TakeProfit
2025-02-06 13:15:00,2025-02-06 13:35:00,SPY,long,1,605.64,605.33,-0.30999999999994543,StopLoss
2025-02-06 13:40:00,2025-02-06 13:55:00,SPY,long,1,605.4,605.16,-0.2400000000000091,StopLoss
2025-02-06 14:00:00,2025-02-06 14:25:00,SPY,long,1,605.29,604.56,-0.7300000000000182,StopLoss
2025-02-06 14:30:00,2025-02-06 14:30:00,SPY,short,1,603.05,603.05,-0.0,StopLoss
2025-02-06 14:35:00,2025-02-06 14:35:00,SPY,short,1,603.6,603.6,-0.0,TakeProfit
2025-02-06 14:40:00,2025-02-06 14:45:00,SPY,short,1,603.37,603.99,-0.6200000000000045,StopLoss
2025-02-06 14:50:00,2025-02-06 14:55:00,SPY,short,1,604.15,603.73,0.4199999999999591,TakeProfit
2025-02-06 15:00:00,2025-02-06 15:15:00,SPY,short,1,603.73,604.49,-0.7599999999999909,StopLoss
2025-02-06 15:20:00,2025-02-06 15:45:00,SPY,short,1,604.64,605.4,-0.7599999999999909,StopLoss
2025-02-06 15:50:00,2025-02-06 15:50:00,SPY,short,1,606.15,606.15,-0.0,TakeProfit
2025-02-06 15:55:00,2025-02-06 15:55:00,SPY,short,1,606.34,606.34,-0.0,TakeProfit
2025-02-07 09:30:00,2025-02-07 09:30:00,SPY,short,1,607.2,607.2,-0.0,TakeProfit
2025-02-07 09:35:00,2025-02-07 09:35:00,SPY,long,1,607.32,607.32,0.0,StopLoss
2025-02-07 09:40:00,2025-02-07 09:50:00,SPY,long,1,607.53,607.95,0.42000000000007276,TakeProfit
2025-02-07 09:55:00,2025-02-07 10:00:00,SPY,long,1,607.81,604.79,-3.019999999999982,StopLoss
2025-02-07 10:05:00,2025-02-07 10:05:00,SPY,long,1,605.6,605.6,0.0,StopLoss
2025-02-07 10:10:00,2025-02-07 10:10:00,SPY,long,1,604.25,604.25,0.0,TakeProfit
2025-02-07 10:15:00,2025-02-07 10:50:00,SPY,long,1,604.77,601.82,-2.949999999999932,StopLoss
2025-02-07 10:55:00,2025-02-07 10:55:00,SPY,long,1,603.41,603.41,0.0,StopLoss
2025-02-07 11:00:00,2025-02-07 11:15:00,SPY,short,1,602.2,603.6,-1.3999999999999773,StopLoss
2025-02-07 11:20:00,2025-02-07 11:45:00,SPY,short,1,603.06,601.86,1.1999999999999318,TakeProfit
2025-02-07 11:50:00,2025-02-07 13:05:00,SPY,short,1,601.66,603.37,-1.7100000000000364,StopLoss
2025-02-07 13:10:00,2025-02-07 13:40:00,SPY,short,1,603.5,602.34,1.1599999999999682,TakeProfit
2025-02-07 13:45:00,2025-02-07 13:55:00,SPY,short,1,602.05,601.24,0.8099999999999454,TakeProfit
2025-02-07 14:00:00,2025-02-07 14:10:00,SPY,short,1,601.47,600.94,0.5299999999999727,TakeProfit
2025-02-07 14:15:00,2025-02-07 14:30:00,SPY,short,1,600.91,601.01,-0.10000000000002274,TakeProfit
2025-02-07 14:35:00,2025-02-07 15:00:00,SPY,short,1,601.24,600.58,0.6599999999999682,TakeProfit
2025-02-07 15:05:00,2025-02-07 15:15:00,SPY,short,1,600.76,600.59,0.16999999999995907,TakeProfit
2025-02-07 15:20:00,2025-02-07 15:30:00,SPY,short,1,600.51,601.04,-0.5299999999999727,StopLoss
2025-02-07 15:35:00,2025-02-07 15:50:00,SPY,short,1,600.71,601.03,-0.31999999999993634,StopLoss
